movie name,imdb name,year,description,trailer link,movie id,imdb score,rotten score,cinema score,user score
Pain and Glory,Dolor y gloria,2019,"Dolor y gloria is a movie starring Antonio Banderas, Asier Etxeandia, and Leonardo Sbaraglia. A film director reflects on the choices he's made in life as past and present come crashing down around him.",https://www.imdb.com/video/imdb/vi2354953241,tt8291806,7.7,96,Cinemascore,NA
The Climbers,Pan deng zhe,2019,"Pan deng zhe is a movie starring Jing Wu, Ziyi Zhang, and Boran Jing. May 1960. Mount Everest, the second step under the cliff. The four members of the China Everest Climbing Commando are attacking the most difficult and most...",NA,tt9635616,5.4,,Cinemascore,NA
Wrinkles The Clown,Wrinkles the Clown,2019,NA,NA,tt9097270,6.0,57,Cinemascore,NA
Mister America,Mister America,2019,"Mister America is a movie starring Tim Heidecker, Gregg Turkington, and Terri Parks. After representing himself and beating a murder charge, a concert promoter runs for the San Bernardino District Attorney's office against the...",https://www.imdb.com/video/imdb/vi2913058585,tt10579992,NA,,Cinemascore,NA
A German Youth,A German Youth,2019,NA,NA,tt10921806,NA,,Cinemascore,NA
Gemini Man,Gemini Man,2019,"Gemini Man is a movie starring Will Smith, Mary Elizabeth Winstead, and Clive Owen. An over-the-hill hitman faces off against a younger clone of himself.",https://www.imdb.com/video/imdb/vi2993208345,tt1025100,5.7,22,Cinemascore,NA
High Strung Free Dance,Free Dance,2019,"Free Dance is a movie starring Jane Seymour, Thomas Doherty, and Ace Bhatti. A young choreographer casts a contemporary dancer and an innovative pianist in New York's most anticipated new Broadway show.",https://www.imdb.com/video/imdb/vi1560722457,tt6428150,7.2,,Cinemascore,NA
Je T'Aime Moi Non Plus (2019 ReRelease),NA,2019,NA,NA,NA,NA,,Cinemascore,NA
Jexi,Jexi,2019,"Jexi is a movie starring Rose Byrne, Justin Hartley, and Adam Devine. A comedy about what can happen when you love your phone more than anything else in your life.",https://www.imdb.com/video/imdb/vi27377433,tt9354944,NA,,Cinemascore,NA
Parasite,Gisaengchung,2019,"Gisaengchung is a movie starring Kang-ho Song, Sun-kyun Lee, and Yeo-jeong Jo. All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an...",https://www.imdb.com/video/imdb/vi4232428569,tt6751668,8.5,100,Cinemascore,NA
